Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
B,33,female,no,10,NA
B,34,female,no,10,NA
B,35,male,yes,10,16.5
B,36,male,yes,10,14
B,37,male,no,10,15.2
B,38,male,no,10,13.3
B,39,female,yes,10,18.8
B,40,female,yes,10,22.5
B,41,female,no,10,21.9
B,42,female,no,10,21.5
B,43,male,no,10,15.9
B,44,male,no,10,17.2
B,45,male,no,10,14.9
B,46,male,no,10,15.2
B,47,female,no,10,23.3
B,48,female,no,10,22.9
B,49,female,no,10,22.5
B,50,female,no,10,24.3
B,51,male,no,10,15.9
B,52,male,yes,10,16.3
B,53,male,no,10,16.4
B,54,female,no,10,23.5
B,55,female,yes,10,23.6
B,56,female,no,10,25.1
B,57,male,yes,10,16.6
B,58,male,no,10,14.7
B,59,male,no,10,18.2
B,60,female,yes,10,23.1
B,61,female,no,10,21.8
B,62,female,no,10,23.9
B,63,male,yes,10,15.5
B,64,male,no,10,15.3
B,65,male,no,10,15.8
B,66,female,yes,10,20.9
B,67,female,no,10,24.9
B,68,female,no,10,22.2
B,69,male,no,10,15.1
B,70,male,yes,10,15.1
B,71,male,no,10,16.2
B,72,female,no,10,23.2
B,73,female,yes,10,25.4
B,74,female,no,10,22.4
B,75,male,no,10,12.8
B,76,male,no,10,15.3
B,77,female,no,10,20.6
B,78,female,no,10,22.5
B,79,male,no,10,17
B,80,female,no,10,24.4
C,1,female,yes,10,NA
C,2,female,yes,10,NA
C,3,female,yes,10,22.3
C,4,male,yes,10,16
C,5,male,yes,10,14.2
C,6,male,yes,10,13.3
C,7,male,no,10,13.6
C,8,female,no,10,21
C,9,male,yes,10,14.5
C,10,male,yes,10,16.6
C,11,male,yes,10,16.7
C,12,male,yes,10,15.8
C,13,male,no,10,17.1
C,14,male,no,10,15.5
C,15,female,yes,10,26
C,16,female,yes,10,19.4
C,17,female,yes,10,21.3
C,18,female,yes,10,20.5
C,19,female,no,10,19.9
C,20,female,no,10,25
C,21,male,no,10,15.1
C,22,female,no,10,22.8
C,23,female,no,10,NA
C,24,female,yes,10,19.5
C,25,female,no,10,20.3
C,26,male,yes,10,17.1
C,27,male,no,10,NA
C,28,male,no,10,13.8
C,29,male,no,10,NA
C,30,male,no,10,15.7
C,31,female,yes,10,22.6
C,32,female,no,10,NA
C,33,female,no,10,18.8
C,34,female,no,10,NA
C,35,female,no,10,20.7
C,36,male,yes,10,15.4
C,37,male,no,10,NA
C,38,male,no,10,NA
C,39,male,no,10,16.2
C,40,male,no,10,15.9
C,41,male,no,10,13.9
C,42,female,no,10,19.2
C,43,female,no,10,21.3
C,44,female,yes,10,20
C,45,male,yes,10,16.5
C,46,male,yes,10,14.7
C,47,male,no,10,18.2
C,48,female,yes,10,21.8
C,49,female,yes,10,22.3
C,50,female,no,10,22.4
C,51,male,no,10,13.7
C,52,male,no,10,15
C,53,male,yes,10,16.1
C,54,male,no,10,14.4
C,55,male,no,10,14.7
C,56,female,no,10,22
C,57,female,no,10,21.6
C,58,female,yes,10,21.3
C,59,female,no,10,21.9
C,60,female,no,10,21.4
C,61,male,no,10,16.7
C,62,male,no,10,14.4
C,63,male,no,10,13.4
C,64,male,yes,10,14.9
C,65,male,no,10,14.1
C,66,female,no,10,22.1
C,67,female,no,10,21.5
C,68,female,yes,10,23.1
C,69,female,no,10,NA
C,70,female,no,10,23
C,71,male,no,10,16.2
C,72,male,no,10,14.5
C,73,male,no,10,15.8
C,74,male,no,10,14
C,75,male,yes,10,17
C,76,female,no,10,21.2
C,77,female,no,10,21.1
C,78,female,no,10,21.8
C,79,female,no,10,22.7
C,80,female,yes,10,21.4
D,1,female,no,10,22.4
D,2,male,no,10,16.6
D,3,male,no,10,18.1
D,4,female,no,10,23.7
D,5,male,no,10,16.6
D,6,male,no,10,14.5
D,7,male,no,10,18.3
D,8,male,no,10,15.2
D,9,male,no,10,16.4
D,10,female,no,10,26.5
D,11,female,no,10,28.6
D,12,female,no,10,25.3
D,13,female,no,10,24
D,14,male,yes,10,16.2
D,15,male,yes,10,16.6
D,16,female,no,10,20.4
D,17,female,yes,10,19.3
D,18,female,yes,10,20.3
D,19,male,no,10,16.3
D,20,male,no,10,16.1
D,21,female,no,10,20.9
D,22,female,no,10,23
D,23,male,no,10,13.6
D,24,male,yes,10,15
D,25,male,yes,10,16.3
D,26,female,no,10,19.1
D,27,female,yes,10,21.4
D,28,female,yes,10,23.6
D,29,male,no,10,16.5
D,30,female,no,10,24.4
D,31,male,yes,10,16.5
D,32,male,no,10,16.7
D,33,female,yes,10,23.7
D,34,female,no,10,21
D,35,male,no,10,15.1
D,36,male,no,10,13.6
D,37,male,no,10,14.4
D,38,male,no,10,14.5
D,39,male,no,10,15.7
D,40,female,no,10,19.7
D,41,female,no,10,20.3
D,42,female,no,10,22
D,43,female,no,10,NA
D,44,female,no,10,19.9
D,45,male,no,10,16
D,46,male,no,10,15.7
D,47,female,no,10,22.1
D,48,female,no,10,23
D,49,male,no,10,14
D,50,male,no,10,15.6
D,51,female,no,10,21.4
D,52,female,no,10,20.2
D,53,male,yes,10,16.9
D,54,male,no,10,16
D,55,male,no,10,17
D,56,female,yes,10,21.9
D,57,female,no,10,NA
D,58,female,no,10,21.3
D,59,male,yes,10,16.3
D,60,male,no,10,15.7
D,61,male,no,10,15.7
D,62,female,yes,10,21.6
D,63,female,no,10,24.2
D,64,female,no,10,19.7
D,65,male,no,10,16
D,66,male,no,10,16.6
D,67,male,no,10,15.5
D,68,female,no,10,20.6
D,69,female,no,10,20.4
D,70,female,no,10,19.2
D,71,male,no,10,14.8
D,72,male,no,10,14.8
D,73,male,no,10,15.2
D,74,male,no,10,15.5
D,75,female,no,10,20.9
D,76,female,no,10,21
D,77,female,no,10,22.1
D,78,female,no,10,19.5
D,79,male,no,10,14.9
D,80,female,no,10,20.6
A,1,male,yes,15,16.3
A,2,female,yes,15,25.2
A,3,female,no,15,25.1
A,4,male,no,15,13.5
A,5,male,no,15,16.9
A,6,male,no,15,NA
A,7,male,yes,15,17.7
A,8,female,no,15,22.1
A,9,female,no,15,23.5
A,10,female,yes,15,21.6
A,11,male,yes,15,19
A,12,male,yes,15,21.8
